,from,to,date_x,date_y,new_id_x,new_id_y
0,1034,1004,2000-01-05,2000-01-02,27,0
1,10060,1006,2000-10-06,2000-01-02,2057,1
2,6118,1008,2000-06-12,2000-01-02,1240,2
3,7139,1009,2000-07-13,2000-01-02,1471,3
4,3261,1010,2000-03-27,2000-01-02,682,4
5,4186,1010,2000-04-19,2000-01-02,876,4
6,5098,1010,2000-05-10,2000-01-02,971,4
7,10130,1010,2000-10-13,2000-01-02,2117,4
8,10194,1010,2000-10-17,2000-01-02,2172,4
9,101123,1010,2001-01-12,2000-01-02,2871,4
10,102060,1010,2001-02-06,2000-01-02,3023,4
11,108204,1010,2001-08-24,2000-01-02,4602,4
12,112177,1010,2001-12-13,2000-01-02,5405,4
13,201244,1010,2002-01-25,2000-01-02,5683,4
14,11109,1005,2000-11-08,2000-01-03,2350,5
15,2138,1011,2000-02-14,2000-01-03,338,6
16,3204,1011,2000-03-21,2000-01-03,630,6
17,9215,1011,2000-09-19,2000-01-03,1971,6
18,103124,1011,2001-03-12,2000-01-03,3269,6
19,4105,1012,2000-04-11,2000-01-03,808,7
20,4172,1012,2000-04-18,2000-01-03,863,7
21,9138,1012,2000-09-12,2000-01-03,1899,7
22,101152,1012,2001-01-15,2000-01-03,2898,7
23,103014,1012,2001-03-01,2000-01-03,3169,7
24,104158,1012,2001-04-17,2000-01-03,3529,7
25,106005,1012,2001-06-01,2000-01-03,3920,7
26,107118,1012,2001-07-10,2000-01-03,4284,7
27,108093,1012,2001-08-10,2000-01-03,4503,7
28,108157,1012,2001-08-20,2000-01-03,4562,7
29,108211,1012,2001-08-27,2000-01-03,4614,7
30,109021,1012,2001-09-03,2000-01-03,4653,7
31,109150,1012,2001-09-17,2000-01-03,4769,7
32,110218,1012,2001-10-16,2000-01-03,5019,7
33,110244,1012,2001-10-17,2000-01-03,5042,7
34,112164,1012,2000-02-20,2000-01-03,412,7
35,112188,1012,2001-12-13,2000-01-03,5415,7
36,112198,1012,2001-12-14,2000-01-03,5424,7
37,201231,1012,2002-01-24,2000-01-03,5671,7
38,202032,1012,2002-02-05,2000-01-03,5737,7
39,202043,1012,2002-02-05,2000-01-03,5746,7
40,203030,1012,2002-03-04,2000-01-03,5928,7
41,1033,1013,2000-01-05,2000-01-03,26,8
42,2130,1013,2000-02-11,2000-01-03,329,8
43,2132,1013,2000-02-11,2000-01-03,331,8
44,8151,1013,2000-08-15,2000-01-03,1705,8
45,4114,1013,2000-04-12,2000-01-03,815,8
46,7053,1013,2000-07-06,2000-01-03,1400,8
47,7063,1013,2000-07-07,2000-01-03,1408,8
48,10098,1013,2000-10-10,2000-01-03,2089,8
49,10099,1013,2000-10-10,2000-01-03,2090,8
50,11144,1013,2000-11-10,2000-01-03,2382,8
51,103265,1013,2001-03-24,2000-01-03,3392,8
52,104226,1013,2001-04-23,2000-01-03,3589,8
53,105320,1013,2001-05-30,2000-01-03,3914,8
54,107227,1013,2001-07-23,2000-01-03,4388,8
55,111127,1013,2001-11-10,2000-01-03,5167,8
56,9124,1014,2000-09-11,2000-01-03,1886,9
57,12057,1014,2000-12-05,2000-01-03,2568,9
58,111101,1014,2001-11-08,2000-01-03,5146,9
59,3205,1016,2000-03-21,2000-01-03,631,10
60,6041,1016,2000-06-05,2000-01-03,1173,10
61,7198,1016,2000-07-18,2000-01-03,1518,10
62,10054,1016,2000-10-06,2000-01-03,2052,10
63,11219,1016,2000-11-17,2000-01-03,2449,10
64,102130,1016,2001-02-11,2000-01-03,3085,10
65,8102,1017,2000-08-10,2000-01-03,1660,11
